"MKCD_SVM","SVM"
17118.2740867657,12267.4921831276
16576.1489943593,11863.730337706
16000.2247422518,11223.3430281859
15778.8933606035,10699.1060514908
14828.6425047586,10291.6284071111
14231.249773078,9745.14764934211
14296.5407000083,9483.90984364941
14151.9413447527,9108.93061139355
14114.6646164097,9034.34575518788
14421.1650761123,9134.00282995807
14116.9533598032,8798.83125935154
13405.2619059857,8627.29003445893
12851.0861823581,7981.66631168577
13334.7642848105,7853.46549146566
12632.6248199738,7556.47345357193
12867.8732318704,7272.48650522018
12440.7668731897,7094.27368811544
11978.7023807307,6841.17224080043
11961.568983583,6568.91556940613
11394.4521627954,6046.98206827098
11943.1354433614,5846.93894852308
11424.7619599247,5771.81891084652
11777.0109608158,5695.12317182317
12043.6480033607,5949.33009252837
11770.8363973369,6125.49048499964
12224.8462854988,6218.96087037426
12164.0417886137,6337.41662750984
13085.9868943508,6825.02011388153
12789.7094388754,6986.32561107648
13032.2322743896,7045.37450950219
12156.7001212548,6819.86773590933
13653.8906211064,7213.38422001425
14461.8658972405,7727.76991464842
15025.5461879352,8208.68677350905
17680.5506410777,9536.13919498937
16828.471528489,10361.220434919
16858.7814002891,11052.2106564909
18582.9858437391,11940.2603656726
19932.2022565338,13043.377407574
21419.9903950926,14405.952457257
22219.3065371719,15424.8697778604
26309.9374533061,18207.6085249667
26993.4179615017,20049.2234197814
28040.995740758,21222.1502539688
30200.0120629545,23257.3657224348
31994.757155296,25023.4980232035
34931.7711508008,27302.6239212535
37099.4026252242,29209.058475839
42982.3832274513,33591.4962559119
44664.5749946562,36822.446285682
44786.6310207085,38169.9106817078
47594.5538195641,40866.5479319976
51153.6453138869,43845.1192688249
56067.5277060398,46873.8259613171
57790.7026761637,49436.0925257016
67501.7384790889,55985.1352298054
69533.7606311886,60711.4310705014
69333.6331971256,62875.7782559129
74376.9581227038,66658.8568870225
78902.9599207499,71100.160905316
84324.3294150925,74899.2985997083
85826.274376692,77591.8624718858
96567.4143488339,85320.0809415774
98949.4493141351,90552.4001366958
98608.9763823817,92563.477223435
103987.657081622,96471.2357349403
106588.463612768,100068.470388158
114110.527599801,104376.773348218
113617.905622138,106200.605930633
122051.058183159,112656.002403723
123250.024352864,116733.113863656
123326.513717946,117691.993189571
127675.781048456,121200.282519199
130482.094430247,123579.484565454
135677.788417043,126701.616128925
132370.174021808,127786.131167892
140630.836732896,132777.160643247
143174.277897394,136286.397384883
141674.223291166,136687.317109976
144572.24247775,139274.103803381
145377.319306285,141183.929545617
149986.031385717,142977.54342145
148556.212445722,144756.118700537
154255.190071962,147965.916276797
154737.48430206,150317.399160027
152052.782676824,150189.264004556
156901.116171139,152424.204937683
156860.424776082,154003.074605113
164380.527869228,156947.416096341
162003.11502922,158949.321520515
161058.194114118,159944.882178354
160142.786373812,160281.061967397
159288.021573107,159465.761789486
