"y_test","pred_out"
22386.36,19036.23
21597,19738.52
21287.64,22156.29
21323.07,24530.74
21119.36,25900.71
20953.29,27622.47
20799.64,28988.48
20876.07,29328.76
22785.93,28952.58
32967.79,28510.21
39902.21,27766.67
46569.43,27638.45
48301.29,27764.09
54060.79,28496.32
55318.79,30595.21
56861.93,28545.1
59397.14,33023.43
62787.29,32793.75
65967.86,28602.46
66317.71,26264.01
60950.64,26387.65
60301.79,27035.21
54778.14,26748.49
52722,26745.63
51635.79,27087.56
45890,26856.79
39489.64,26794.9
37880.86,26664.1
37650.79,27111.22
38010,31796.91
42081.64,38032.41
42796.93,41474.97
43264.86,45332.59
43536.57,49982.27
43020.64,54117.24
43878.43,56680.7
45276.5,59141.56
46012.93,61806.99
52282.21,65251.2
53252.5,70056.11
55274.57,75042.7
62420.93,75850.46
63578.86,78789.12
67157.93,76261.9
84811.57,63780.52
91551.71,47606.68
126037.5,31840.53
142018.29,33397.07
146916.21,28933.75
160091.21,25213.74
166194.07,24335.61
168695.43,27392.65
171314.07,32090.09
169548.93,37124.21
172626,42135.79
179970.71,44386.67
182415.93,42292.73
211143.07,45060.09
218371.21,61897.34
217162.86,75221.09
216080.07,80197.96
213412.21,83254.88
200510.93,88556.29
203940.14,92605.98
209932.93,97397.68
230620.07,107097.9
235181.36,115456.59
234500,136180.91
225202.43,155555.73
220046.36,168412.16
214023.86,181845.05
200123.5,191352.95
164147.14,197764.08
150076.43,198154.08
141066.36,192809.55
136306.71,189675.33
121089,188696.86
91250.07,187231.97
78806.07,202354.58
74700,215882.94
73240.07,225994.7
71225.64,228446.56
66721.21,224064.77
63567.36,210656.19
62766.71,199029.11
61726.71,189976.5
60529.5,197266.11
59451.57,205323.61
56600.14,208730.28
